id,express,arrival,delivered,final_stage,time_in_system
1,1,0.011,5.741,DELIVERED,5.730
2,0,1.755,7.948,DELIVERED,6.193
4,0,5.741,9.787,DELIVERED,4.046
6,0,10.792,15.534,DELIVERED,4.741
7,0,13.993,27.188,DELIVERED,13.196
8,0,14.810,29.164,DELIVERED,14.354
9,0,18.674,31.012,DELIVERED,12.338
10,1,19.700,39.072,DELIVERED,19.372
11,0,21.358,40.542,DELIVERED,19.183
12,1,26.068,48.155,DELIVERED,22.087
14,0,27.188,51.184,DELIVERED,23.996
15,0,30.928,60.707,DELIVERED,29.779
16,0,31.673,61.795,DELIVERED,30.123
17,0,33.782,62.331,DELIVERED,28.549
18,0,35.972,62.365,DELIVERED,26.393
19,1,40.542,91.775,DELIVERED,51.233
21,0,48.513,96.217,DELIVERED,47.703
22,0,51.184,96.800,DELIVERED,45.616
23,0,55.598,97.320,DELIVERED,41.722
24,0,56.549,97.674,DELIVERED,41.125
25,0,59.804,97.745,DELIVERED,37.940
26,0,64.206,124.129,DELIVERED,59.923
29,0,68.966,125.072,DELIVERED,56.106
30,1,70.580,143.752,DELIVERED,73.172
28,1,66.701,144.917,DELIVERED,78.216
27,1,64.884,145.211,DELIVERED,80.327
32,0,74.569,145.573,DELIVERED,71.003
33,0,76.561,146.106,DELIVERED,69.546
34,0,76.599,146.245,DELIVERED,69.646
35,0,81.351,146.257,DELIVERED,64.906
36,0,83.497,146.427,DELIVERED,62.930
37,0,85.967,146.454,DELIVERED,60.486
39,0,87.280,146.600,DELIVERED,59.320
40,0,91.149,150.166,DELIVERED,59.018
38,1,86.562,168.131,DELIVERED,81.570
41,1,91.775,173.998,DELIVERED,82.224
42,0,93.584,174.390,DELIVERED,80.806
44,0,107.537,174.577,DELIVERED,67.040
45,0,110.019,174.611,DELIVERED,64.592
48,0,112.499,174.774,DELIVERED,62.275
49,0,114.693,177.469,DELIVERED,62.775
47,1,112.400,199.469,DELIVERED,87.069
46,1,112.186,200.199,DELIVERED,88.013
43,1,104.802,201.668,DELIVERED,96.865
50,0,121.831,202.776,DELIVERED,80.945
51,0,127.385,204.138,DELIVERED,76.753
52,0,128.929,204.217,DELIVERED,75.289
53,0,130.976,204.265,DELIVERED,73.289
54,0,135.190,204.436,DELIVERED,69.246
56,0,143.752,224.114,DELIVERED,80.362
57,0,144.917,224.278,DELIVERED,79.361
58,0,146.106,225.664,DELIVERED,79.558
59,0,152.991,228.197,DELIVERED,75.206
