time,queue_size
5.001,3
10.792,1
15.295,3
21.358,5
26.068,6
30.928,7
35.972,9
40.542,8
45.606,8
51.184,9
55.598,10
60.450,12
66.701,11
70.580,13
76.561,16
80.376,17
85.967,20
91.149,23
95.199,24
102.938,19
105.499,19
110.019,21
115.299,25
120.141,25
125.072,24
130.976,27
135.190,28
141.099,28
145.211,28
150.166,21
155.137,23
161.975,26
165.660,27
170.011,29
177.469,26
180.029,26
185.115,27
191.131,28
195.854,29
200.199,27
208.550,23
210.068,24
215.488,25
220.413,28
225.664,26
230.281,23
235.602,24
240.938,24
245.574,25
250.475,26
255.026,24
260.270,25
265.123,24
270.284,20
276.486,21
280.305,22
285.264,17
290.915,18
296.972,18
302.625,12
305.509,13
310.318,13
315.224,15
321.460,17
325.170,16
330.685,18
335.651,16
342.346,18
345.700,17
350.276,17
355.269,17
360.219,16
365.364,18
370.116,17
375.577,16
380.283,14
385.440,13
391.976,1
395.674,1
400.819,2
405.193,3
410.497,4
415.055,5
420.006,6
426.663,7
431.060,7
436.511,8
440.732,8
445.235,8
450.080,8
456.099,8
461.517,10
465.876,9
472.329,7
475.042,1
480.117,1
485.323,2
490.207,2
495.792,1
